eur_name,c_ori_name,c_eng_name,v_unit,u_id,u_descripcion,u_description,mu_id,mu_descripcion,mu_description
FE,"hierro, total","iron, total",mg,mg,miligramos,milligram,WKG,por Kg de parte comestible,per Kg edible portion
K,potasio,potassium,mg,mg,miligramos,milligram,WKG,por Kg de parte comestible,per Kg edible portion
MG,magnesio,magnesium,mg,mg,miligramos,milligram,WKG,por Kg de parte comestible,per Kg edible portion
NA,sodio,sodium,mg,mg,miligramos,milligram,WKG,por Kg de parte comestible,per Kg edible portion
P,fósforo,phosphorus,mg,mg,miligramos,milligram,WKG,por Kg de parte comestible,per Kg edible portion
CU,cobre,copper,mg,mg,miligramos,milligram,WKG,por Kg de parte comestible,per Kg edible portion
ZN,zinc (cinc),zinc,mg,mg,miligramos,milligram,WKG,por Kg de parte comestible,per Kg edible portion
FAMS,"ácidos grasos, monoinsaturados totales","fatty acids, total monounsaturated",g,g,gramos,gram,VM,por ml de volumen del alimento,per ml food volume
FIBT,"fibra, dietetica total","fibre, total dietary",mg,mg,miligramos,milligram,W,por 100 g de porción comestible,per 100 g edible portion
PANTAC,ácido pantoténico (vitamina B5),pantothenic acid (vitamin B5),mg,mg,miligramos,milligram,D,por 100 g de peso en seco,per 100 g dry weight
FOL,"folato, total","folate, total",ug,ug,microgramos,microgram,WKG,por Kg de parte comestible,per Kg edible portion
F14:0,ácido graso 14:0 (ácido mirístico),fatty acid 14:0 (myristic acid),g,g,gramos,gram,D,por 100 g de peso en seco,per 100 g dry weight
F16:0,ácido graso 16:0 (ácido palmítico),fatty acid 16:0 (palmitic acid),g,g,gramos,gram,D,por 100 g de peso en seco,per 100 g dry weight
F18:0,ácido graso 18:0 (ácido esteárico),fatty acid 18:0 (stearic acid),g,g,gramos,gram,D,por 100 g de peso en seco,per 100 g dry weight
F18:1CN9,ácido graso 18:1 n-9 cis (ácido oléico),fatty acid 18:1 n-9 cis (oleic acid),g,g,gramos,gram,D,por 100 g de peso en seco,per 100 g dry weight
ENERC,"energía, total","energy, total metabolisable calculated from energy-producing food components",kcal,kcal,kilocalorías,kilocalorie,W,por 100 g de porción comestible,per 100 g edible portion
CHO,carbohidratos,carbohydrate,mg,mg,miligramos,milligram,W,por 100 g de porción comestible,per 100 g edible portion
ALC,alcohol (etanol),alcohol (ethanol),g,g,gramos,gram,D,por 100 g de peso en seco,per 100 g dry weight
FAPU,"ácidos grasos, poliinsaturados totales","fatty acids, total polyunsaturated",g,g,gramos,gram,VM,por ml de volumen del alimento,per ml food volume
WATER,agua (humedad),water (moisture),mg,mg,miligramos,milligram,W,por 100 g de porción comestible,per 100 g edible portion
